GPA,gender,breakfast,calories_chicken,calories_day,calories_scone,coffee,comfort_food,comfort_food_reasons,comfort_food_reasons_coded,cook,comfort_food_reasons_coded_[0],cuisine,diet_current,diet_current_coded,drink,eating_changes,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,father_profession,fav_cuisine,fav_cuisine_coded,fav_food,food_childhood,fries,fruit_day,grade_level,greek_food,healthy_feeling,healthy_meal,ideal_diet,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,meals_dinner_friend,mother_education,mother_profession,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,soup,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
3,Female,1,610,3,980,2,"Fast Food",other,7,5,7,1,Other,2,2,Other,1,3,4,2,4,1,5,Other,mexican,2,3,"pizza, chicken fingers",1,2,2,2,5,"Vegetarian Meal",Other,1,6,1,4,2,1,"Chicken, Pasta, Veal",4,Teacher,2,1,1,2,1,6,1,1,1,1165,850,"Team Sport",3,2,1315,175
4,Female,1,610,3,420,1,Snacks,"Sadness, ",3,5,3,2,Other,1,1,Other,1,3,1,2,3,1,4,Other,italian,1,1,pasta,2,4,1,4,2,"Vegetarian Meal",Vegetarian,2,6,5,5,5,1,"pasta, pizza ",4,Other,3,1,3,5,2,2,1,1,4,940,850,"Team Sport",3,1,1315,185
4,Female,2,610,3,420,2,"Home-cooked Meals","Stress, Boredom, ",1,4,1,1,Other,1,1,Other,1,7,2,2,5,3,4,Other,other,4,1,"Chicken Nuggets",1,3,3,2,4,"Vegetarian Meal",Other,1,4,4,5,5,1,"Pizza, Pasta, Poutine",2,Other,2,1,2,3,2,3,1,1,4,940,690,"Team Sport",4,1,1315,185
3,Male,2,720,3,420,2,Sweets,"Boredom, ",2,3,2,1,Vegetarian,1,1,Other,3,4,2,3,2,1,4,Other,other,0,3,"Chicken parm, beef stroganof, tacos",1,4,1,3,8,Other,Other,2,6,3,3,5,1,"Pasta
Take out",3,Other,4,1,1,3,3,3,1,1,3,1165,690,Other,3,2,760,125
4,Female,1,610,2,420,1,Sweets,"Boredom, ",2,3,2,1,Other,1,1,"Increased Eating",1,3,2,2,2,1,4,Other,italian,1,1,"Chicken Parm, Pizza ",1,3,2,1,9,"Vegetarian Meal",Other,5,5,1,5,9,2,"Chicken parm ",2,"Medical Professional",2,1,1,4,1,2,2,1,2,1165,850,Other,3,2,1315,160
3,Female,1,610,4,980,2,"Fast Food","Boredom, ",2,4,2,1,Vegetarian,1,2,"Healthier Eating",2,5,2,3,3,1,5,Other,mexican,2,1,Steak,1,5,1,3,9,"Vegetarian Meal",Other,6,6,3,4,9,2,"Steak, lobster, chicken ",5,Other,4,1,1,6,2,2,1,1,3,1165,500,Other,5,1,1315,175
3,Female,1,610,2,420,2,Sweets,"Boredom, ",2,2,2,2,Other,2,1,Other,1,3,2,2,2,2,4,Engineer,italian,1,1,"Deer Steak, Buttered Pasta, Garlic Pasta",1,3,3,1,4,"Vegetarian Meal",Other,7,5,1,5,3,1,"Garlic noodles and steak, Parmesan chicken and pasta, Tacos and pasta",4,Other,5,1,1,3,2,3,1,2,1,940,500,Other,2,1,1315,180
4,Female,1,265,2,420,2,"Fast Food","Boredom, Anger, ",2,3,2,nill,Other,2,2,"Healthier Eating",1,3,5,3,5,2,5,Other,indian,8,1,"Crab legs, Mushroom soup, homemade rolls",1,5,3,3,9,Other,Vegetarian,7,5,5,5,10,1,"Tomato soup, Steak, crab",5,Other,2,1,1,4,5,2,1,2,5,580,500,Other,4,1,760,167
4,Male,1,720,3,420,2,Snacks,"Stress, Boredom, ",1,3,1,1,Vegetarian,1,1,Other,1,7,3,2,4,2,2,Other,mexican,2,2,"french fries, waffles, chocolate",1,3,4,2,7,"Vegetarian Meal",Vegetarian,2,5,3,4,8,2,"pasta, chicken with potatoes, pizza ",5,Teacher,4,3,3,3,2,3,2,1,3,940,500,Other,5,1,1315,115
4,Female,1,610,3,420,2,Snacks,"Boredom, ",1,2,1,1,Vegetarian,2,2,Other,3,4,2,3,5,2,4,Other,italian,1,1,"chicken and biscuits",1,5,2,5,5,Other,Vegetarian,1,4,4,5,3,1,"Chicken, Steak, Pasta",2,Other,4,4,1,3,3,4,2,2,4,940,690,Other,5,1,1315,205
4,Male,1,610,3,420,2,Sweets,"Stress, Boredom, Sadness, ",2,4,2,1,Other,2,1,Other,1,3,3,3,2,1,4,Other,french,1,3,"hamburgers, chicken nuggets ",1,5,1,3,1,Salads,Other,7,6,1,5,3,1,"pasta, lasagna, chicken ",4,Other,4,1,5,4,1,2,1,1,3,940,345,Other,4,1,1315,150
3,Male,1,610,2,420,2,Other,"Boredom, ",2,1,2,1,Vegetarian,3,1,Other,1,3,2,3,2,1,4,Other,italian,5,1,"chicken, pasta, stir fry",1,5,3,3,2,"Vegetarian Meal",Other,6,4,1,5,3,2,"Some kind of pasta, a chicken dish, some kind of salad",4,Other,2,2,1,3,2,2,1,1,2,940,690,Other,5,2,760,150
4,Male,1,610,3,420,2,"Fast Food","Boredom, ",2,3,2,nill,Other,2,2,Other,1,8,4,2,4,1,5,Other,italian,1,3,"pizza, pasta, grilled cheese ",1,5,2,3,7,"Vegetarian Meal",Other,5,6,2,5,7,1,"spaghetti or pasta, shrimp fried rice, chicken ",2,Homemaker,3,1,2,3,1,4,2,1,2,1165,500,Other,5,2,900,150
3,Male,1,720,4,420,2,Sweets,"Stress, ",1,2,1,6,Other,2,2,Other,1,3,2,2,4,3,2,Other,italian,1,1,Pasta,1,3,4,5,4,"Vegetarian Meal",Other,2,6,3,5,2,2,"Pasta, Pizza, Chicken ",3,Other,4,1,1,4,3,4,1,1,5,940,500,Other,4,2,1315,170
4,Male,1,610,3,980,2,Sweets,"Stress, Boredom, ",2,3,2,1,Other,1,1,Other,1,2,2,3,4,2,4,Other,italian,1,1,"chicken parmesan",1,4,4,3,6,"Vegetarian Meal",Vegetarian,2,5,3,5,8,2,"Chicken Parmesan, Orange Chicken, Tacos",4,Other,4,1,1,3,3,4,1,1,2,1165,690,Other,3,2,1315,150
3,Female,1,720,nill,980,2,Sweets,other,9,5,9,1,Other,2,2,"Increased Eating",1,2,5,3,3,1,5,Other,mexican,2,1,"Chicken and steak ",1,5,4,1,3,"Vegetarian Meal",Other,2,6,3,4,5,2,"Steak and potatoes, burgers and fries, bacon and eggs ",2,Other,1,2,3,3,1,1,1,1,3,1165,690,Other,3,2,1315,175
3,Female,1,430,3,315,1,Sweets,"Sadness, ",3,3,3,1,Vegetarian,3,2,"No Change",1,9,2,3,4,1,4,Business,italian,1,1,"pizza, ice cream. pop tarts ",1,3,1,5,10,Other,Vegetarian,2,6,3,5,8,1,"Pizza, Japanize Hibachi, Moes   ",4,Teacher,3,1,1,3,3,2,1,1,3,940,500,Other,4,2,760,140
3,Male,1,720,4,980,2,Sweets,other,5,2,5,1,Other,4,1,Other,1,3,4,2,4,1,2,Other,italian,1,1,"Mac cheese ",1,5,2,5,6,Salads,Other,3,3,3,5,4,1,"Chicken, Pasta, Salad",3,Teacher,4,1,1,3,2,6,1,2,4,940,690,Other,5,1,1315,120
3,Male,1,610,4,420,2,Sweets,"Stress, Boredom, ",1,1,1,1,Vegetarian,1,1,Other,2,4,2,2,5,1,4,Engineer,thai,4,1,"Mac and Cheese, Hot Dogs, Grilled Cheese",1,5,4,5,8,Other,Vegetarian,7,5,5,5,10,1,"Steak, asparagus and potatoes, homemade chicken alfredo, Mexican cuisine",2,Other,4,2,1,6,5,3,1,1,5,725,500,"Team Sport",5,1,760,170
4,Female,1,430,2,420,1,Snacks,"Boredom, Sadness, Anger, ",3,3,3,1,Vegetarian,2,2,"Unhealthier Eating",1,2,2,2,4,2,3,Other,italian,1,1,"chicken soup,  perogies, & roast beef  ",1,4,1,4,4,Other,Vegetarian,5,4,3,5,4,1,"Spaghetti, steak, burgers ",4,Other,3,1,2,3,3,3,1,1,3,725,345,"Team Sport",4,2,900,168
